CLASS,LOCATION,REGION,SOURCE_OPERATOR,SOURCE_SYSTEM,SOURCE_TYPE,FILE_ID,INTEGRATION_JOB_ID,FILE_NAME,SOURCE_PATH,PROCESSING_STATUS,ERROR_MESSAGE,WARNING_COLUMNS,RECORD_COUNT,RECEIVED_TIMESTAMP,PROCESSED_AT
km_navajo_phoenix,Phoenix,Navajo,Kinder Morgan,Kinder Morgan,,,,,,,,,,2025-12-24 18:30:03.200,2025-12-24 18:30:03.200
km_navajo_tucson,Tucson,Navajo,Kinder Morgan,Kinder Morgan,,,,,,,,,,2025-12-24 18:30:03.200,2025-12-24 18:30:03.200
hfs_rockies_casper,Casper,Rockies,,HEP,,,,,,,,,,2025-12-24 18:30:03.200,2025-12-24 18:30:03.200
shell_psr_portland,Portland,PSR,Shell,TopTech,EMAIL,FILE_7748,JOB_2026_01_01__11_00,1566.pdf,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Portland@Shell.com_EMAIL_SUBJECT_[EXTERNAL Email]_ Report_ Terminal 000Y083 Shell - Portland - Product Summary Report_TIME_2026-01-01_10_07_11_FILE_NAME_1566.pdf,COMPLETED,,[],6,2026-01-01 10:07:11.000,2026-01-01 11:01:31.630
hep_navajo_orla,Orla,HEP,HEP,HEP,EMAIL,FILE_7680,JOB_2025_12_31__08_00,Orla Terminal Daily Report 202512022.xlsx,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Andres.Corella@HFSinclair.com_EMAIL_SUBJECT_Orla Station Daily Report 12-31-25_TIME_2025-12-31_07_20_52_FILE_NAME_Orla Terminal Daily Report 202512022.xlsx,COMPLETED,,[],1,2025-12-31 07:20:52.000,2025-12-31 08:01:11.841
hep_rockies_boise,Boise,Rockies,HEP,TopTech,EMAIL,FILE_7720,JOB_2025_12_31__13_00,Stock Report Barrels.pdf,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Boise.Terminal@HFSinclair.com_EMAIL_SUBJECT_Boise Inventory 12-22-25 REVISED_TIME_2025-12-31_12_20_17_FILE_NAME_Stock Report Barrels.pdf,COMPLETED,,[],6,2025-12-31 12:20:17.000,2025-12-31 13:01:22.897
hfs_navajo_navajorefinery,Navajo Refinery,Southwest,HFS,HFS,EMAIL,FILE_7744,JOB_2026_01_01__09_00,DAILY OPS 2025.xls,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Kami.Bates@HFSinclair.com_EMAIL_SUBJECT_DAILY OPS 2025.xls_TIME_2026-01-01_08_57_25_FILE_NAME_DAILY OPS 2025.xls,COMPLETED,,[],3,2026-01-01 08:57:25.000,2026-01-01 09:01:10.305
hep_rockies_burley,Burley,HEP,HEP,HEP,EMAIL,FILE_7647,JOB_2025_12_30__09_00,12-30.pdf,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Burley.Terminal@HFSinclair.com_EMAIL_SUBJECT__TIME_2025-12-30_08_17_52_FILE_NAME_12-30.pdf,COMPLETED,,[],5,2025-12-30 08:17:52.000,2025-12-30 09:01:38.612
km_psr_willbridge,Willbridge,PSR,KINDER MORGAN,,EMAIL,FILE_7715,JOB_2025_12_31__11_00,CUSTOMER_WILLBRIDGE-LINNTON_15210_11815310.pdf,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_KM_Inventory@kindermorgan.com_EMAIL_SUBJECT_[EXTERNAL Email]_ CUSTOMER REPORT - DAILY from WILLBRIDGE-LINNTON terminal_TIME_2025-12-31_10_35_50_FILE_NAME_CUSTOMER_WILLBRIDGE-LINNTON_15210_11815310.pdf,COMPLETED,,[],2,2025-12-31 10:35:50.000,2025-12-31 11:01:31.730
hep_psr_spokane,Spokane,PSR,HEP,HEP,EMAIL,FILE_7741,JOB_2026_01_01__03_00,0464.pdf,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Spokane@hollyenergy.com_EMAIL_SUBJECT_Report File From Terminal 0000093_ HEP - _tmp_email_0464.pdf_TIME_2026-01-01_02_31_51_FILE_NAME_0464.pdf,COMPLETED,,[],6,2026-01-01 02:31:51.000,2026-01-01 03:02:24.627
shell_psr_seattle,Seattle,PSR,Shell,TopTech,EMAIL,FILE_7760,JOB_2026_01_01__18_00,3447.pdf,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Seattle@Shell.com_EMAIL_SUBJECT_[EXTERNAL Email]_ Report_ Terminal 000Y032 Shell - Seattle - Product Summary Report_TIME_2026-01-01_17_25_14_FILE_NAME_3447.pdf,COMPLETED,,[],6,2026-01-01 17:25:14.000,2026-01-01 18:01:40.140
hep_navajo_elpaso,El Paso,HEP,HFS,HFS,EMAIL,FILE_7739,JOB_2026_01_01__02_00,El_Paso_Tank2.xlsm,sahfsadfdev.blob.core.windows.net/schedulerworkbooks/_SENDER_EMAIL_Steven.Koulavongsa@HFSinclair.com_EMAIL_SUBJECT_El_Paso_Tank2.xlsm 12_31_2025_TIME_2026-01-01_01_01_44_FILE_NAME_El_Paso_Tank2.xlsm,COMPLETED,,[],8,2026-01-01 01:01:44.000,2026-01-01 02:01:41.910
